<ticker>,<date>,<time>,<close>
banknifty_option_contract,4/2/2022,11:46:00,207.5
banknifty_option_contract,4/2/2022,11:47:00,207.85
banknifty_option_contract,4/2/2022,11:48:00,206.55
banknifty_option_contract,4/2/2022,11:49:00,208.45
banknifty_option_contract,4/2/2022,11:50:00,194.55
banknifty_option_contract,4/2/2022,11:51:00,190
banknifty_option_contract,4/2/2022,11:52:00,192.1
banknifty_option_contract,4/2/2022,11:53:00,188.95
banknifty_option_contract,4/2/2022,11:54:00,184.35
banknifty_option_contract,4/2/2022,11:55:00,181.9
banknifty_option_contract,4/2/2022,11:56:00,181.75
banknifty_option_contract,4/2/2022,11:57:00,184.85
banknifty_option_contract,4/2/2022,11:58:00,185
banknifty_option_contract,4/2/2022,11:59:00,185
banknifty_option_contract,4/2/2022,12:00:00,190.85
banknifty_option_contract,4/2/2022,12:01:00,191.4
banknifty_option_contract,4/2/2022,12:02:00,190
banknifty_option_contract,4/2/2022,12:03:00,186.9
banknifty_option_contract,4/2/2022,12:04:00,177.5
banknifty_option_contract,4/2/2022,12:05:00,184.65
banknifty_option_contract,4/2/2022,12:06:00,185.95
banknifty_option_contract,4/2/2022,12:07:00,185.8
banknifty_option_contract,4/2/2022,12:08:00,184.05
banknifty_option_contract,4/2/2022,12:09:00,182.55
banknifty_option_contract,4/2/2022,12:10:00,178.4
banknifty_option_contract,4/2/2022,12:11:00,172.5
banknifty_option_contract,4/2/2022,12:12:00,171.8
banknifty_option_contract,4/2/2022,12:13:00,172.55
banknifty_option_contract,4/2/2022,12:14:00,177.95
banknifty_option_contract,4/2/2022,12:15:00,174.8
banknifty_option_contract,4/2/2022,12:16:00,172.4
banknifty_option_contract,4/2/2022,12:17:00,172.2
banknifty_option_contract,4/2/2022,12:18:00,176
banknifty_option_contract,4/2/2022,12:19:00,168.95
banknifty_option_contract,4/2/2022,12:20:00,162.4
banknifty_option_contract,4/2/2022,12:21:00,162.8
banknifty_option_contract,4/2/2022,12:22:00,164.25
banknifty_option_contract,4/2/2022,12:23:00,164
banknifty_option_contract,4/2/2022,12:24:00,167.3
banknifty_option_contract,4/2/2022,12:25:00,170.3
banknifty_option_contract,4/2/2022,12:26:00,173.4
banknifty_option_contract,4/2/2022,12:27:00,174.6
banknifty_option_contract,4/2/2022,12:28:00,178.45
banknifty_option_contract,4/2/2022,12:29:00,178.85
banknifty_option_contract,4/2/2022,12:30:00,175.15
banknifty_option_contract,4/2/2022,12:31:00,178.35
banknifty_option_contract,4/2/2022,12:32:00,180
